Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
SR1-N	5	Monterey		R90.735	341.247		500011091	HWY 156 AT HWY 1 NB VDS OFNB NB	2	Off Ramp		No	1	
SR1-N	5	Monterey		R90.736	341.248	.891	500011092	HWY 156 AT HWY 1 NB VDS MLNB NB	2	Mainline	radars	No	1	
SR1-N	5	Monterey		T92.143	342.655		500011111	HWY 183 AT HWY 1 NB VDS OFNB NB	1	Off Ramp		No	1	
SR1-N	5	Monterey		T92.144	342.656	1.121	500011112	HWY 183 AT HWY 1 NB VDS MLNB NB	1	Mainline	radars	No	1	
SR1-N	5	Monterey		94.386	343.491	.811	500011121	MOLERA RD HWY 1 NB VDS MLNB NB	1	Mainline	radars	No	1	
SR1-N	5	Monterey		94.387	343.492		500011122	MOLERA RD HWY 1 NB VDS OFNB NB	1	Off Ramp		No	1	
SR1-N	5	Monterey		95.175	344.28	.712	500011131	POTRERO RD HWY 1 NB VDS MLNB NB	1	Mainline		No	1	
SR1-N	5	Monterey		95.176	344.281		500011132	POTRERO RD HWY 1 NB VDS OFNB NB	1	Off Ramp		No	1	
SR1-N	5	Monterey		95.811	344.916		500011142	MOSS LANDING RD HWY 1 SB VDS ONN	1	On Ramp		No	1	
SR1-N	5	Monterey		95.812	344.917	.621	500011143	MOSS LANDING RD HWY 1 SB VDS MLN	1	Mainline	radars	No	1	
SR1-N	5	Monterey		96.418	345.523	1.191	500011151	ELKHORN SLOUGH HWY 1 NB VDS MLNB	1	Mainline		No	1	
SR1-N	5	Monterey		98.194	347.299	1.424	500011212	STRUVE RD HWY 1 SB VDS MLNB NB	1	Mainline		No	1	
SR1-N	5	Monterey		99.266	348.371	1.423	500011222	NORTH OF SPRINGFIELD RD HWY 1 SB	1	Mainline		No	1	
SR1-N	5	Monterey		T101.04	350.145	1.139	500011233	SALINAS RD HWY 1 SB VDS MLNB NB	2	Mainline		No	1	
SR1-N	5	Monterey		R101.544	350.649	.803	500011241	TRAFTON RD HWY 1 NB VDS MLNB NB	2	Mainline		No	1	
SR1-N	5	Santa Cruz	Watsonville	R0.877999999999986	352.014		500013011	HWY 129 AT HWY 1 NB VDS OFNB NB	1	Off Ramp		No	1	
SR1-N	5	Santa Cruz	Watsonville	R0.879000000000019	352.015	1.07	500013012	HWY 129 AT HWY 1 NB VDS MLNB NB	2	Mainline		No	1	
SR1-N	5	Santa Cruz		R1.38901	352.525	.773	500013023	HWY 129 AT HWY 1 SB VDS MLNB NB	2	Mainline		No	1	
SR1-N	5	Santa Cruz		R2.425	353.561	1.005	500013031	HARKINS SLOUGH RD HWY 1 NB VDS M	2	Mainline		No	1	
SR1-N	5	Santa Cruz		R3.399	354.535	1.049	500013043	HWY 152 AT HWY 1 SB VDS MLNB NB	2	Mainline		No	1	
