ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
400000	101	S	4	41	52582	19.2	459.805	38.081167	-122.547606	.275	ML	4	N OF 37 / 101 INTERCHANGE	101482	L4-S-27-101-01920	101482	424150
400001	101	N	4	85	68000	38.26	387.897	37.364085	-121.901149	.445	ML	5	NB 880 RM-N-CONN	DT697	L5-N-37-101-03826	998145	426518
400002	101	S	4	81	68252	14.67	416.893	37.584097	-122.328465	.31	ML	5	PENINSULA AVE OC	106296	L5-S-35-101-01467	106296	426945
400006	880	S	4	1	81204	13.54	23.767	37.605003	-122.065542	.34	ML	4	WHIPPLE RD	998415	L4-S-33-880-01354	998415	421858
400007	101	N	4	81	68252	15.25	417.437	37.586936	-122.337721	.365	ML	5	2000' N OF PENNISULA AVE	999325	L5-N-35-101-01525	999325	426427
400009	80	W	4	1	6000	5.7	11.01	37.864883	-122.303345	.285	ML	5	UNIVERSITY AVE  ON-W-LOOP	997005	L5-W-33-080-00570	997005	427288
400010	101	N	4	81		19.84	422.027	37.623668	-122.400687	.45	ML	4	SAN BRUNO AVE	106341	L4-N-35-101-01984	106341	422356
400011	101	S	4	41	52582	16.15	456.755	38.041862	-122.536533	.225	ML	5	2600' N OF MILLER CREEK RD	103468	L5-S-27-101-01615	103468	426595
400014	101	N	4	85	68000	27.22	376.491	37.245818	-121.775473	.29	ML	4	BERNAL RD	998217	L4-N-37-101-02722	998217	422542
400015	84	W	4	1	26000	3.09	33.15	37.534901	-122.076575	.875	ML	3	2200' W OF TOLL PLAZA	DT817	L3-W-33-084-00309	184106	418841
400017	85	S	4	85	68000	10.07	10.07	37.253303	-121.94544	.43	ML	4	BASCOM AVE	DT551	L4-S-37-085-01007	998071	419898
400025	680	N	4	13	83346	13.7	45.201	37.891953	-122.062776	.455	ML	5	NEWELL AVE	682267	L5-N-28-680-01370	682267	423448
400026	580	E	4	1	53000	43.36	59.293	37.809074	-122.244479	.47	ML	4	LAKESHORE AVE	580246	L4-E-33-580-04336	580246	420378
400027	80	E	4	13	60620	1.24	14.573	37.914241	-122.317388	.21	ML	4	E OF CARLSON BLVD	802167	L4-E-28-080-00124	802167	420138
400028	280	N	4	81	73262	22.96	45.5	37.649733	-122.451962	.2	ML	4	Westborough Blvd	DT006	L4-N-35-280-02296	280251	422440
400030	880	S	4	85	68000	3.64	3.64	37.359087	-121.906538	.25	ML	3	N FIRST ST	DT969	L3-S-37-880-00364	880130	421412
400031	580	W	4	1	53000	40.11	56.34	37.787056	-122.196191	.847	ML	4	EB High St. off ramp	DT105	L4-W-33-580-04011	580235	422950
400037	680	S	4	13	57764	17.58	49.081	37.943413	-122.05914	.215	ML	6	Monument Blvd rm-s-diag	DT740	L6-S-28-680-01758	998199	423690
400038	880	S	4	1	33000	14.95	25.177	37.622701	-122.078223	.48	ML	5	2200' N OF INDUSTRIAL PKWY	DT388	L5-S-33-880-01495	881222	426770
400039	101	N	4	81		20.64	422.827	37.635096	-122.403232	.13	ML	4	SAN BRUNO AVE	101349	L4-N-35-101-02064	101349	422368
400040	87	S	4	85	68000	2.87	2.87	37.294625	-121.873166	.205	ML	2	Curtner Ave rm-s-loop	DT643	L2-S-37-087-00287	87114	417982
400041	880	N	4	1	33000	15.8	26.027	37.633535	-122.085656	.97	ML	4	TENNYSON RD	DTA24	L4-N-33-880-01580	998425	424744
400043	101	S	4	75	67000	3.3	431.63	37.753591	-122.403092	.46	ML	4	25th St POC	DT232	L4-S-34-101-00330	999360	422062
400044	680	S	4	95		5.06	63.222	38.116435	-122.106331	2.02	ML	2	Parish Rd	DT773	L2-S-23-680-00506	680316	417100
