ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
400000	101	S	4	41	52582	19.2	459.52	38.081167	-122.547606	2.575	ML	3		DT028	L3-S-27-101-01920		
400001	101	N	4	85	68000	38.26	387.897	37.364085	-121.901149	.48	ML	5		E37GN	L5-N-37-101-03826		
400002	101	S	4	81	68252	14.59	416.814	37.583227	-122.327501	.225	ML	4		DT243	L4-S-35-101-01459		
400005	80	W	4	13	60620	4.2	17.546	37.954132	-122.3289	.12	ML	4			L4-W-28-080-00420		
400006	880	S	4	1	81204	13.54	23.767	37.605003	-122.065542	.575	ML	4		E33AU	L4-S-33-880-01354		
400007	101	N	4	81	68252	15.25	417.437	37.586936	-122.337721	.42	ML	4		DT275	L4-N-35-101-01525		
400009	80	W	4	1	6000	5.63	10.94	37.863905	-122.303083	.12	ML	5			L5-W-33-080-00563		
400010	101	N	4	81		19.84	422.027	37.623668	-122.400687	.45	ML	4		DT292	L4-N-35-101-01984		
400011	101	S	4	41	52582	16.15	456.47	38.041862	-122.536533	.225	ML	5		DT556	L5-S-27-101-01615		
400014	101	N	4	85	68000	27.22	376.491	37.245818	-121.775473	.74	ML	4		E37CT	L4-N-37-101-02722		
400015	84	W	4	1	26000	3.09	33.15			.545	ML	3		DT817	L3-W-33-084-00309		
400016	80	E	4	95	81666	3.98	31.465	38.116649	-122.230024	2.79	ML	3		DT061	L3-E-23-080-00398		
400017	85	S	4	85	68000	10.07	10.07	37.253303	-121.94544	.43	ML	4		E37DZ	L4-S-37-085-01007		
400025	680	N	4	13	83346	13.7	45.201	37.891953	-122.062776	.39	ML	6		DT542	L6-N-28-680-01370		
400026	580	E	4	1	53000	43.36	59.445	37.809074	-122.244479	.47	ML	4		DT109	L4-E-33-580-04336		
400027	80	E	4	13	60620	1.13	14.476	37.912647	-122.31737	.21	ML	4		DTA13	L4-E-28-080-00113		
400028	280	N	4	81	73262	22.96	45.5	37.649733	-122.451962	.2	ML	4		E35AB	L4-N-35-280-02296		
400030	880	S	4	85	68000	3.64	3.64	37.359087	-121.906538	.25	ML	3		E37JI	l3-S-37-880-00364		
400031	580	W	4	1	53000	40.11	56.188	37.787056	-122.196191	1.278	ML	4		DT105	L4-W-33-580-04011		
400034	280	S	4	85	17610	10.39	11.772	37.333614	-122.049627	2.18	ML	4		E37BG	L4-S-37-280-01039		
