ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
801230	10	W	8	71	48788	.591	47.356	34.082004	-117.699964	.845	ML	4	MONTE VISTA	1			
801231	10	W	8	71	48788	.578	47.343	34.081979	-117.700186		OR	2	MONTE VISTA	1			
801232	10	E	8	71	48788	.77	47.535	34.082366	-117.696893	1.031	ML	4	MONTE VISTA	2			
801233	10	E	8	71	48788	.801	47.566	34.082515	-117.696383		OR	2	MONTE VISTA	2			
801234	10	W	8	71	48788	1.168	47.933	34.085065	-117.690768	.66	ML	4	CENTRAL	3			
801236	10	W	8	71	48788	1.148	47.913	34.084928	-117.691072		OR	2	CENTRAL	3			
801237	10	E	8	71	48788	1.361	48.126	34.086174	-117.687669	.569	ML	4	CENTRAL	4			
801238	10	E	8	71	48788	1.361	48.126	34.086174	-117.687669		OR	2	CENTRAL	4			
801239	10	E	8	71	81344	1.908	48.673	34.087191	-117.67832	.573	ML	4	.14 E/O BENSON	5			
801241	10	W	8	71	81344	2.236	49.001	34.087444	-117.672658	.513	ML	4	MOUNTAIN	6			
801242	10	W	8	71	81344	2.236	49.001	34.087444	-117.672658		OR	2	MOUNTAIN	6			
801243	10	E	8	71	81344	2.508	49.273	34.087205	-117.667846	.512	ML	4	MOUNTAIN	7			
801244	10	E	8	71	81344	2.508	49.273	34.087205	-117.667846		OR	2	MOUNTAIN	7			
801245	10	E	8	71	81344	2.932	49.697	34.087226	-117.660445	.549	ML	4	.01 E/O SAN ANTONIO	8			
801248	10	W	8	71	81344	3.544	50.309	34.087474	-117.649739	.611	ML	4	EUCLID LOOP	10			
801249	10	W	8	71	81344	3.545	50.31	34.087474	-117.649722		OR	1	EUCLID LOOP	10			
801250	10	E	8	71	81344	3.605	50.37	34.087268	-117.648702	.613	ML	4	EUCLID	11			
801252	10	E	8	71	81344	3.596	50.361	34.087267	-117.648858		OR	1	EUCLID	11			
801255	10	E	8	71	81344	4.636	51.401	34.082592	-117.632187	.588	ML	4	.25 W/O GROVE	13			
801259	10	W	8	71	53896	5.164	51.929	34.078419	-117.624451	.943	ML	4	4TH ST	15			
801260	10	W	8	71	53896	5.164	51.929	34.078419	-117.624451		OR	2	4TH ST	15			
801261	10	E	8	71	53896	5.335	52.1	34.076808	-117.622187	.81	ML	4	4TH ST	16			
801262	10	E	8	71	53896	5.335	52.1	34.076808	-117.622187		OR	2	4TH ST	16			
