ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
601101	41	S	6	39		1	136.002	36.890711	-119.793037	3.402	ML	2	VALLEY CHILDREN BLVD DT 41 SB				
601209	41	N	6	19	27000	22.6805	124.433	36.728879	-119.78227	1.271	ML	3	BROADWAY AVE 41 NB				
601211	41	N	6	19	27000	23.7205	125.474	36.742744	-119.777251	1.6	ML	3	TULARE AVE LP 41 NB				
601218	41	S	6	19	27000	30.2905	132.044	36.834941	-119.785203	.385	ML	3	HERNDON AVE LP 41 SB				
601219	41	S	6	19	27000	31.5515	133.305	36.852727	-119.787862	2.201	ML	2	FRIANT RD LP 41 SB				
601220	41	N	6	19	27000	21.1125	122.866	36.706852	-119.784779	.5	ML	2	JENSEN AVE LOOP 41 NB				
601221	41	N	6	19	27000	21.1805	122.933	36.707805	-119.78457	.783	ML	3	JENSEN AVE DIRECT 41 NB				
601222	41	N	6	19		20.1805	121.933	36.693365	-119.785745	2.967	ML	2	NORTH AVE DT 41 NB				
601233	945	W	6	19	27000	5.47	5.47	36.821357	-119.719346	1.309	ML	3	BULLARD AVE LP 168 WB				
601234	945	E	6	19	27000	5.66	5.66	36.823282	-119.716668	2.87	ML	3	BULLARD AVE DT 168 EB				
601236	945	W	6	19	27000	3.9425	3.942	36.804558	-119.737267	1.504	ML	3	SHAW AVE LP 168 WB				
601242	945	W	6	19	14218	6.5615	6.561	36.833163	-119.706166	1.194	ML	2	HERNDON AVE LP 168 WB				
601253	180	W	6	19		40.044	16.544	36.734714	-120.106773	3	ML	2	FOWLER AVE LP WB 180				
601255	180	W	6	19		41.044	17.544	36.73473	-120.088784	3	ML	2	TEMPERANCE AVE LP WB 180				
601257	945	W	6	19	14218	7.86	7.86	36.840994	-119.687362	1.009	ML	2	FOWLER AVE 168 WB				
601258	945	E	6	19	14218	8.2	8.2	36.840688	-119.681234	1.46	ML	2	FOWLER AVE 168 EB				
601300	180	E	6	19	27000	56.0005	32.501	36.735253	-119.819333	3.2	ML	3	HUGHES AVE 180 EB				
601307	99	S	6	29		24.1107	24.933	35.361231	-119.039629	.324	ML	4	S OF PALM AVE 99 SB				
601309	5	N	6	29		33.5207	238.638	35.209575	-119.163095	5	ML	2	JCT RTE 223 BEAR MTN BLVD 5 NB				
601310	5	N	6	29		39.1705	244.287	35.271341	-119.228774	4.87	ML	2	RTE 119 SEP 5 NB				
601344	180	E	6	19	27000	58.25	33.902	36.727235	-119.789538	3.2	ML	4	MISSING				
601356	99	N	6	29		23.942	24.764	35.358789	-119.03935	.94	ML	4	N OF BELLE TERRACE 99 NB				
601358	99	N	6	29	3526	24.932	25.754	35.372632	-119.043589	.359	ML	4	S OF PALM AVE 99 NB				
601361	99	S	6	29		23.943	24.765	35.358795	-119.039569	.288	ML	4	N OF BELLE TERRACE 99 SB				
601366	99	N	6	29		28.312	29.134	35.417433	-119.059699	.999	ML	2	S OF OLIVE DR 99 NB				
601411	41	S	6	19	27000	25.4	127.153	36.766155	-119.778537	3.149	ML	3	MCKINLEY SB 41 LP				
601415	41	N	6	19	27000	28.58	130.333	36.810161	-119.785152	.239	ML	3	SHAW DT 41 NB				
601416	41	N	6	19	27000	28.42	130.173	36.807838	-119.785137	.501	ML	3	SHAW LP 41 NB				
601425	99	N	6	19	27000	21.0105	133.351	36.734045	-119.802391	1.7	ML	3	STANISLAUS ST 99 NB				
601465	46	E	6	29		6.37	59.281	35.67793	-120.097128	2.96	ML	2	KECKS RD 46 WB				
601466	46	E	6	29		7.29	60.201	35.671309	-120.082869	.485	ML	2	KECKS RD 46 WB				
601467	46	E	6	29		10.03	62.941	35.651345	-120.041128	3.845	ML	2	JEO KECKS RD 46 WB				
601495	180	E	6	19	27000	65.91	41.567	36.73687	-119.657279	5	ML	2	180 WB AT LOCAN AVE				
601510	5	N	6	29		10.173	215.29	34.939412	-118.929744	2.501	ML	4	GRAPEVINE RD - I5 NB				
601516	5	N	6	29		43.91	249.027	35.320541	-119.287224	4.73	ML	2	N OF RTE 43 - I5 SB				
601518	5	N	6	29		48.63	253.747	35.365357	-119.350423	4.86	ML	2	N OF STOCKDALE HWY - I5 NB				
