ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
600053	41	N	6	19	27000	27.9	129.653	36.800291	-119.785198	1	ML	3	Gettysburg @ SB 41				
600054	41	N	6	19	27000	26.9	128.653	36.78584	-119.784233	.65	ML	3	Dakota @ SB 41 NB				
600055	99	N	6	19	27000	23.9	136.24	36.765263	-119.834417	4.03	ML	3	McKinley Ave. OC @ SR 99 NB				
600056	99	S	6	19	27000	23.9	136.215	36.765172	-119.834612	4.03	ML	3	McKinley Ave. OC @ SR 99 NB				
600057	99	N	6	19		26.96	139.3	36.797515	-119.871005	4.03	ML	3	N OF Ashlan Ave @ SR 99 NB				
600058	99	S	6	19		26.96	139.275	36.797274	-119.871194	4.03	ML	3	N OF Ashlan Ave @ SR 99 NB				
600059	5	N	6	29		32.52	237.637	35.198653	-119.151429	5	ML	2	JCT RTE 223 Bear mtn Blvd @ SR 5				
600060	5	S	6	29		32.52	237.572	35.198481	-119.151694	5	ML	2	JCT RTE 223 Bear mtn Blvd @ SR 5				
600061	99	N	6	39		7.42	151.382	36.923198	-120.021242	5	ML	3	AVENUE 12 @ 99 NB				
600062	99	S	6	39		7.42	151.357	36.923203	-120.021552	5	ML	3	AVENUE 12 @ 99 NB				
600064	41	N	6	19	27000	23.4	125.153	36.738096	-119.777427	.37	ML	3	Huntington @ NB 41				
600065	41	N	6	19	27000	24.2	125.953	36.749581	-119.776023	.55	ML	4	Belmont @ NB 41				
600231	41	N	6	19	27000	28.9	130.653	36.814806	-119.785219	3	ML	3	Barstow @ SB 41				
600232	41	N	6	19	27000	24.9	126.653	36.759747	-119.775441	.55	ML	3	Floradora @ NB 41				
600233	41	N	6	19	27000	25.9	127.653	36.771429	-119.784191	.55	ML	3	Clinton @ NB 41				
600234	41	N	6	19	27000	22.8	124.553	36.730174	-119.780832	2.8	ML	3	Broadway @ NB 41				
600276	41	S	6	19	27000	27.9	129.653	36.800289	-119.78548	1	ML	3	Gettysburg @ SB 41				
600277	41	S	6	19	27000	26.9	128.653	36.785847	-119.784563	1	ML	3	Dakota @ SB 41				
600278	41	S	6	19	27000	24.2	125.953	36.749609	-119.776319	.75	ML	3	Belmont @ NB 41 SB				
600279	41	S	6	19	27000	28.9	130.653	36.814805	-119.785547	3	ML	3	Barstow @ SB 41				
600280	41	S	6	19	27000	24.9	126.653	36.759711	-119.775804	.85	ML	3	Floradora @ NB 41				
600281	41	S	6	19	27000	25.9	127.653	36.771377	-119.784557	1	ML	3	Clinton @ NB 41				
600282	41	S	6	19	27000	23.4	125.153	36.738101	-119.777678	2.9	ML	3	Huntington @ NB 41				
600402	41	N	6	19	27000	26.4	128.153	36.778576	-119.784665	.35	ML	3	Shields LP @ NB 41				
600403	41	N	6	19	27000	26.6	128.353	36.781483	-119.784523	.25	ML	3	Shields DT @ NB 41				
600404	41	N	6	19	27000	23.54	125.293	36.740143	-119.777518	.1	ML	3	Tulare LP @ NB 41				
