ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
601100	180	W	6	19	27000	60.63	36.173	36.735928	-119.750876	.143	ML	1	CHESTNUT LP 180 WB				
601101	41	S	6	39		1	136.002	36.890711	-119.793037	.967	ML	2	VALLEY CHILDREN BLVD DT 41 SB				
601102	41	S	6	39		1.1305	136.133	36.892628	-119.792977	2.565	ML	2	VALLEY CHILDREN BLVD LP 41 SB				
601103	947	E	6	19	27000	54.595	31.095	36.73567	-119.844391	2.712	ML	2	MARKS AVE LP 180 EB				
601105	99	N	6	19		0.006	101.768	36.402147	-119.807102	5	ML	3	HUNTINGTON AVE 41 SB				
601108	180	W	6	19	27000	60.05	35.593	36.73592	-119.761341	1.008	ML	3	CEDAR AVE 180 WB				
601205	41	S	6	19	27000	27.3505	129.104	36.792366	-119.784833	.515	ML	3	ASHLAN AVE 41 SB				
601206	41	S	6	19	27000	28.395	130.148	36.807473	-119.785435	.245	ML	3	SHAW AVE DT 41 SB				
601207	41	S	6	19	27000	28.4705	130.224	36.808576	-119.78544	.293	ML	3	SHAW AVE LP 41 SB				
601208	41	S	6	19	27000	29.2905	131.044	36.82047	-119.785561	.495	ML	3	BULLARD AVE DT 41 SB				
601209	41	N	6	19	27000	22.6805	124.433	36.728879	-119.78227	.941	ML	3	BROADWAY AVE 41 NB				
601210	41	N	6	19	27000	23.0605	124.814	36.733186	-119.77801	.375	ML	3	M STREET 41 NB				
601211	41	N	6	19	27000	23.7205	125.474	36.742744	-119.777251	.24	ML	3	TULARE AVE LP 41 NB				
601212	41	N	6	19	27000	23.9105	125.663	36.745383	-119.776414	.479	ML	3	DIVISADERO 41 NB				
601213	41	N	6	19	27000	25.3405	127.093	36.765707	-119.777389	.455	ML	3	MCKINLEY AVE DT 41 NB				
601214	41	N	6	19	27000	26.4005	128.154	36.778591	-119.784664	.34	ML	3	SHIELDS AVE LP 41 NB				
601215	41	N	6	19	27000	26.5605	128.314	36.780916	-119.784553	.275	ML	3	SHIELDS AVE DT 41 NB				
601216	41	S	6	19	27000	30.1705	131.924	36.833207	-119.785242	.16	ML	3	HERNDON AVE DT 41 SB				
601217	41	S	6	19	27000	31.5502	133.303	36.852701	-119.787844	.311	ML	2	FRIANT RD DT 41 SB				
601218	41	S	6	19	27000	30.2905	132.044	36.834941	-119.785203	.285	ML	3	HERNDON AVE LP 41 SB				
601219	41	S	6	19	27000	31.5515	133.305	36.852727	-119.787862	1.796	ML	2	FRIANT RD LP 41 SB				
601220	41	N	6	19		21.1125	122.866	36.706852	-119.784779	.5	ML	2	JENSEN AVE LOOP 41 NB				
601221	41	N	6	19	27000	21.1805	122.933	36.707805	-119.78457	.783	ML	3	JENSEN AVE DIRECT 41 NB				
601222	41	N	6	19		20.1805	121.933	36.693365	-119.785745	2.967	ML	2	NORTH AVE DT 41 NB				
601223	945	E	6	19	27000	3.25	3.25	36.796581	-119.744842	.439	ML	3	ASHLAN DT 168 EB				
601224	945	E	6	19	27000	2.7425	2.743	36.789986	-119.748619	.395	ML	3	ASHLAN LP 168 EB				
601225	945	W	6	19	27000	2.7505	2.75	36.790154	-119.748919	.395	ML	3	ASHLAN DT 168 WB				
601226	945	E	6	19	27000	1.8405	1.841	36.776933	-119.749016	.463	ML	3	SHIELDS AVE DT 168 EB				
601227	945	W	6	19	27000	1.78	1.78	36.776087	-119.749366	.459	ML	3	SHIELDS AVE 168 WB				
601228	945	W	6	19	27000	0.9575	.958	36.764153	-119.749473	1.249	ML	4	MCKINLEY LP 168 WB				
601229	945	E	6	19	27000	0.9805	.981	36.764477	-119.749122	.377	ML	3	MCKINLEY DT 168 EB				
601230	945	W	6	19	27000	3.6505	3.651	36.801166	-119.740464	.16	ML	3	SHAW AVE DT 168 WB				
601231	945	E	6	19	27000	4.0105	4.011	36.805243	-119.736261	.415	ML	3	SHAW AVE LP 168 EB				
601232	945	E	6	19	27000	4.4505	4.45	36.81035	-119.731512	.529	ML	3	SHAW AVE DT 168 EB				
601233	945	W	6	19	27000	5.47	5.47	36.821357	-119.719346	.595	ML	3	BULLARD AVE LP 168 WB				
601234	945	E	6	19	27000	5.66	5.66	36.823282	-119.716668	.42	ML	3	BULLARD AVE DT 168 EB				
601235	945	W	6	19	27000	5.25	5.25	36.819023	-119.72206	.205	ML	3	BULLARD AVE DT 168 WB				
601236	945	W	6	19	27000	3.9425	3.942	36.804558	-119.737267	.704	ML	3	SHAW AVE LP 168 WB				
601237	945	E	6	19	27000	5.6	5.6	36.822645	-119.717397	.295	ML	3	BULARD AVE LP 168 EB				
601239	99	S	6	19		30.29	142.605	36.83028	-119.915276	1.884	ML	3	HERNDON AVE 99 SB				
601241	945	W	6	19	14218	6.5602	6.56	36.83315	-119.706174	.061	ML	2	HERNDON AVE DT 168 WB				
601242	945	W	6	19	14218	6.5615	6.561	36.833163	-119.706166	.184	ML	2	HERNDON AVE LP 168 WB				
601243	945	W	6	19	14218	9.2	9.2	36.843361	-119.663639	.543	ML	2	TEMPERANCE AVE LP 168 WB				
601247	180	W	6	19	27000	60.6225	36.166	36.735927	-119.751003	.184	ML	2	CHESTNUT DT 180 WB				
601248	180	W	6	19	27000	62.8825	38.426	36.73592	-119.710299	.445	ML	3	CLOVIS AVE DT 180 WB				
601249	180	W	6	19	27000	62.8905	38.434	36.73592	-119.710162	.989	ML	3	CLOVIS AVE LP 180 WB				
601251	180	W	6	19	27000	60.9105	36.453	36.73594	-119.745824	.356	ML	3	PEACH DT 180 WB				
601252	180	W	6	19	27000	39.544	16.044	36.734698	-120.115773	2.75	ML	2	FOWLER AVE DT WB 180				
601253	180	W	6	19	27000	40.044	16.544	36.734714	-120.106773	.5	ML	2	FOWLER AVE LP WB 180				
601254	180	W	6	19	27000	40.544	17.044	36.73473	-120.097779	.5	ML	2	TEMPERANCE AVE DT WB 180				
601255	180	W	6	19	27000	41.044	17.544	36.73473	-120.088784	2.75	ML	2	TEMPERANCE AVE LP WB 180				
601256	41	N	6	19	27000	24.68	126.433	36.756554	-119.775616	.396	ML	3	EB/WB 180 TO NB 41 CONNECTOR				
601257	945	W	6	19	14218	7.86	7.86	36.840994	-119.687362	.589	ML	2	FOWLER AVE 168 WB				
601258	945	E	6	19	14218	8.2	8.2	36.840688	-119.681234	.59	ML	2	FOWLER AVE 168 EB				
601300	947	E	6	19	27000	56.0005	32.501	36.735253	-119.819333	3.203	ML	3	HUGHES AVE 180 EB				
601301	99	N	6	39		9.51	153.478	36.946898	-120.045004	.685	ML	2	GATEWAY DR SR 99 SB				
601302	99	N	6	39		10.06	154.028	36.95162	-120.053013	1.11	ML	2	MADERA AVE. 99 NB				
601303	99	N	6	39	45022	0.001	143.95	36.843078	-119.932561	.05	ML	2	N/O MADERA AVE 99 NB				
601304	99	N	6	39	45022	0.002	143.951	36.843086	-119.932575	.05	ML	2	FOURTH ST 99 NB				
601305	99	N	6	39	45022	0.003	143.952	36.843093	-119.932589	.048	ML	2	0.2 MI N/O AVE 15 1/2 (CLEVE) 99				
601306	99	N	6	39	45022	0.004	143.953	36.8431	-119.932603	1.825	ML	2	N/O AVE 16 99 NB				
601307	99	N	6	39		24.1107	24.933	35.361231	-119.039629	4.601	ML	4	S OF PALM AVE 99 SB				
601309	5	N	6	29		33.5207	238.638	35.209575	-119.163095	5	ML	2	JCT RTE 223 BEAR MTN BLVD 5 NB				
601310	5	N	6	29		39.1705	244.287	35.271341	-119.228774	4.87	ML	2	RTE 119 SEP 5 NB				
601312	99	N	6	19		28.78	141.12	36.8149	-119.89557	.854	ML	3	BARSTOW AVE 99 NB				
601315	5	N	6	29		56.1605	261.277	35.437745	-119.450289	3.665	ML	2	7TH STANDARD RD 5 NB				
601344	180	E	6	19	27000	58.25	33.902	36.727235	-119.789538	1.469	ML	4	MISSING				
601350	180	E	6	19	27000	60.26	35.917	36.7358	-119.757567	1.547	ML	3	180 EB W/O MAPLE AVE				
601351	180	E	6	19	27000	61.34	36.997	36.73586	-119.738077	.87	ML	4	180 WB (1) AT WILLOW				
601356	99	N	6	29		23.06	23.882	35.345994	-119.03941	.941	ML	4	N OF BELLE TERRACE 99 NB				
601358	99	N	6	29		24.932	25.754	35.372632	-119.043589	.359	ML	4	S OF PALM AVE 99 NB				
601361	99	S	6	29		23.061	23.883	35.345997	-119.039625	.674	ML	4	N OF BELLE TERRACE 99 SB				
601362	180	E	6	19	27000	62.94	38.597	36.7358	-119.709334	1.405	ML	4	180 WB(1) AT SUNNYSIDE AVE				
601364	180	E	6	19	27000	64.811	40.468	36.73688	-119.674995	1.484	ML	2	180 WB AT BELMONT AVE				
601366	99	N	6	39		28.312	29.134	35.417433	-119.059699	5	ML	3	S OF OLIVE DR 99 NB				
601368	99	N	6	29		29.17	29.992	35.427225	-119.067421	1.379	ML	3	S OF RTE 65				
601369	99	N	6	29		29.89	30.712	35.434792	-119.075947	.66	ML	3	JNO RTE 65				
601373	99	N	6	29		42.66	43.52	35.57983	-119.203096	3.33	ML	3	S OF RTE 46				
601374	99	N	6	29		44.32	45.18	35.602151	-119.211175	3.33	ML	3	N OF KERN AVE OC 99 NB				
601379	99	N	6	29		54.285	55.145	35.744229	-119.24256	5	ML	3	N OF POND RD OC 99 NB				
601381	99	N	6	107		3.21	61.651	35.836058	-119.260831	5	ML	2	N OF AVENUE 24				
601385	99	N	6	39	45022	11.73	155.698	36.970161	-120.071835	1.72	ML	2	N OF FRESNO RIVER 99 SB				
601411	41	S	6	19	27000	25.4	127.153	36.766155	-119.778537	.265	ML	3	MCKINLEY SB 41 LP				
601412	41	S	6	19	27000	26.53	128.283	36.780471	-119.784873	.174	ML	3	SHIELDS AVE LP 41 SB				
601413	41	S	6	19	27000	26.35	128.103	36.777856	-119.785028	.514	ML	3	SHIELDS AVE DT 41 SB				
601414	41	N	6	19	27000	27.55	129.303	36.795228	-119.784947	.24	ML	3	ASHLAN DT 41 NB				
601415	41	N	6	19	27000	28.58	130.333	36.810161	-119.785152	.239	ML	3	SHAW DT 41 NB				
601416	41	N	6	19	27000	28.42	130.173	36.807838	-119.785137	.261	ML	3	SHAW LP 41 NB				
601417	41	N	6	19	27000	29.58	131.333	36.824654	-119.785024	.236	ML	3	BULLARD DT 41 NB				
601425	99	N	6	19	27000	21.0105	133.351	36.734045	-119.802391	.291	ML	3	STANISLAUS ST 99 NB				
601432	99	N	6	19	27000	23.9005	136.241	36.765276	-119.834424	.514	ML	3	MCKINLEY AVE OC 99 NB				
601436	99	N	6	19		26.9605	139.3	36.797515	-119.871005	.899	ML	3	N OF ASHLAN AVE 99 NB				
601465	46	E	6	29		6.37	59.281	35.67793	-120.097128	2.96	ML	2	KECKS RD 46 WB				
601466	46	E	6	29		7.29	60.201	35.671309	-120.082869	1.83	ML	2	KECKS RD 46 WB				
601467	46	E	6	29		10.03	62.941	35.651345	-120.041128	3.87	ML	2	JEO KECKS RD 46 WB				
601495	180	E	6	19	27000	65.91	41.567	36.73687	-119.657279	3.049	ML	2	180 WB AT LOCAN AVE				
601497	198	E	6	107	82954	6.28	103.378	36.32707	-119.358321	5	ML	2	SHIRK RD 198 EB				
