ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
601100	180	W	6	19	27000	R60.935	37.399	36.754715	-119.735475	.311	ML	1	CHESTNUT LP 180 WB				
601101	41	N	6	39		1	136.002	36.89075	-119.79257	3.402	ML	2	VALLEY CHILDREN BLVD DT 41 SB				
601102	41	S	6	39		1.17	136.172	36.893199	-119.792958	3.572	ML	2	VALLEY CHILDREN BLVD LP 41 SB				
601108	180	W	6	19	27000	R60.051	36.515	36.755129	-119.751416	.231	ML	3	CEDAR AVE 180 WB ML (WB)				
601201	180	W	6	19		R57.152	33.616	36.74779	-119.802154	.326	ML	3	FULTON 180 WB				
601202	180	E	6	19		R57.4005	33.887	36.749656	-119.79799	.469	ML	3	VAN NESS 180 EB				
601203	180	W	6	19	27000	R57.759	34.223	36.751724	-119.792348	.549	ML	3	BLACKSTONE AVE 180 EB				
601204	180	E	6	19	27000	R58.005	34.491	36.752437	-119.787691	.425	ML	3	ABBY AVE 180 EB				
601205	41	S	6	19	27000	27.3505	129.104	36.792366	-119.784833	.515	ML	3	ASHLAN AVE 41 SB				
601206	41	S	6	19	27000	28.395	130.148	36.807473	-119.785435	.244	ML	3	SHAW AVE DT 41 SB				
601207	41	S	6	19	27000	28.4705	130.224	36.808576	-119.78544	.294	ML	3	SHAW AVE LP 41 SB				
601208	41	S	6	19	27000	29.2905	131.044	36.82047	-119.785561	.494	ML	3	BULLARD AVE DT 41 SB				
601209	41	N	6	19	27000	22.6805	124.433	36.728879	-119.78227	.743	ML	3	BROADWAY AVE 41 NB				
601210	41	N	6	19	27000	23.0605	124.814	36.733186	-119.77801	.38	ML	3	M STREET 41 NB				
601211	41	N	6	19	27000	23.7205	125.474	36.742744	-119.777251	.235	ML	3	TULARE AVE LP 41 NB				
601212	41	N	6	19	27000	23.9105	125.663	36.745383	-119.776414	.479	ML	2	DIVISADERO 41 NB				
601213	41	N	6	19	27000	25.3405	127.093	36.765707	-119.777389	.74	ML	3	MCKINLEY AVE DT 41 NB				
601214	41	N	6	19	27000	26.4005	128.154	36.778591	-119.784664	.61	ML	3	SHIELDS AVE LP 41 NB				
601215	41	N	6	19	27000	26.5605	128.314	36.780916	-119.784553	.275	ML	3	SHIELDS AVE DT 41 NB				
601216	41	S	6	19	27000	30.1705	131.924	36.833207	-119.785242	.16	ML	3	HERNDON AVE DT 41 SB				
601217	41	S	6	19	27000	31.5502	133.303	36.852701	-119.787844	.081	ML	2	FRIANT RD DT 41 SB				
601218	41	S	6	19	27000	30.2905	132.044	36.834941	-119.785203	.365	ML	3	HERNDON AVE LP 41 SB				
601219	41	S	6	19	27000	31.5515	133.305	36.852727	-119.787862	1.796	ML	2	FRIANT RD LP 41 SB				
601220	41	N	6	19		21.055	122.808	36.70603	-119.785007	.464	ML	2	JENSEN AVE LOOP 41 NB				
601221	41	N	6	19	27000	21.21	122.963	36.708235	-119.784501	.26	ML	3	JENSEN AVE DIRECT 41 NB				
601222	41	N	6	19		20.282	122.035	36.694848	-119.785758	2.887	ML	2	NORTH AVE DT 41 NB				
601223	945	E	6	19	27000	3.25	3.25	36.796581	-119.744842	.634	ML	3	ASHLAN DT 168 EB				
601224	945	E	6	19	27000	2.7425	2.743	36.789986	-119.748619	.395	ML	3	ASHLAN LP 168 EB				
601225	945	W	6	19	27000	2.7505	2.75	36.790154	-119.748919	.395	ML	3	ASHLAN DT 168 WB				
601226	945	E	6	19	27000	1.8405	1.841	36.776933	-119.749016	.463	ML	3	SHIELDS AVE DT 168 EB				
601227	945	W	6	19	27000	1.78	1.78	36.776087	-119.749366	.459	ML	3	SHIELDS AVE 168 WB				
601228	945	W	6	19	27000	0.9575	.958	36.764153	-119.749473	1.249	ML	4	MCKINLEY LP 168 WB				
601229	945	E	6	19	27000	0.9805	.981	36.764477	-119.749122	.376	ML	3	MCKINLEY DT 168 EB				
601230	945	W	6	19	27000	3.6505	3.651	36.801166	-119.740464	.344	ML	3	SHAW AVE DT 168 WB				
601231	945	E	6	19	27000	4.0105	4.011	36.805243	-119.736261	.6	ML	3	SHAW AVE LP 168 EB				
601232	945	E	6	19	27000	4.4505	4.45	36.81035	-119.731512	.529	ML	3	SHAW AVE DT 168 EB				
601233	945	W	6	19	27000	5.47	5.47	36.821357	-119.719346	.595	ML	3	BULLARD AVE LP 168 WB				
601234	945	E	6	19	27000	5.66	5.66	36.823282	-119.716668	.42	ML	3	BULLARD AVE DT 168 EB				
601235	945	W	6	19	27000	5.25	5.25	36.819023	-119.72206	.202	ML	3	BULLARD AVE DT 168 WB				
601236	945	W	6	19	27000	3.9425	3.942	36.804558	-119.737267	.707	ML	3	SHAW AVE LP 168 WB				
601237	945	E	6	19	27000	5.6	5.6	36.822645	-119.717397	.295	ML	3	BULARD AVE LP 168 EB				
601239	99	S	6	19		30.291	142.606	36.83029	-119.915288	.88	ML	3	HERNDON AVE 99 SB				
601241	945	W	6	19	14218	6.5602	6.56	36.83315	-119.706174	.061	ML	2	HERNDON AVE DT 168 WB				
601242	945	W	6	19	14218	6.5615	6.561	36.833163	-119.706166	.184	ML	2	HERNDON AVE LP 168 WB				
601243	945	W	6	19	14218	9.2	9.2	36.843361	-119.663639	.233	ML	2	TEMPERANCE AVE LP 168 WB				
601247	180	W	6	19	27000	R60.719	37.183	36.755129	-119.73934	.337	ML	2	CHESTNUT DT 180 WB				
601248	180	W	6	19	27000	R62.761	39.225	36.752921	-119.702601	.466	ML	3	CLOVIS AVE DT 180 WB				
601249	180	W	6	19	27000	R62.933	39.397	36.752859	-119.699493	.09	ML	3	CLOVIS AVE LP 180 WB				
601251	180	W	6	19	27000	R61.727	38.191	36.753541	-119.721271	.33	ML	3	PEACH DT 180 WB				
601252	180	W	6	19	27000	R63.7	40.164	36.753677	-119.685683	.503	ML	3	FOWLER AVE DT WB 180				
601253	180	W	6	19	27000	R63.947	40.411	36.753028	-119.681291	.58	ML	2	FOWLER AVE LP WB 180				
601254	180	W	6	19	27000	R65.041	41.505	36.742369	-119.667427	.241	ML	2	TEMPERANCE AVE DT WB 180				
601255	180	W	6	19	27000	R65.342	41.806	36.739414	-119.663468	.459	ML	2	TEMPERANCE AVE LP WB 180				
601256	41	N	6	19	27000	24.68	126.433	36.756554	-119.775616	.506	ML	3	EB/WB 180 TO NB 41 CONNECTOR				
601257	945	W	6	19	14218	7.86	7.86	36.840994	-119.687362	.589	ML	2	FOWLER AVE 168 WB				
601258	945	E	6	19	14218	8.2	8.2	36.840688	-119.681234	.59	ML	2	FOWLER AVE 168 EB				
601259	41	S	6	19	27000	24.346	126.099	36.751724	-119.776206	.74	ML	3	EB/WB 180 TO SB 41 CONNECTOR ML				
601262	99	S	6	19	27000	23.21	135.525	36.75621	-119.829203	.27	ML	3	OLIVE AVE 99 SB				
601263	99	S	6	19	27000	23.34	135.655	36.757899	-119.83022	.095	ML	3	OLIVE AVE 99 SB				
601301	99	N	6	39		9.51	153.478	36.946898	-120.045004	.771	ML	2	GATEWAY DR SR 99 SB				
601302	99	N	6	39		10.231	154.199	36.953088	-120.055492	.555	ML	2	MADERA AVE. 99 NB				
601303	99	N	6	39	45022	10.621	154.589	36.957202	-120.060266	.44	ML	2	N/O MADERA AVE 99 NB				
601304	99	N	6	39	45022	11.11	155.078	36.962615	-120.065836	.554	ML	2	2nd ST SR 99 NB				
601305	99	N	6	39	45022	12.155	156.123	36.974977	-120.076602	.555	ML	2	0.2 MI N/O AVE 15 1/2 (CLEVE) 99				
601306	99	N	6	39	45022	12.841	156.809	36.982465	-120.084614	.672	ML	2	N/O AVE 16 99 NB				
601307	99	S	6	29		24.1117	24.934	35.361245	-119.03963	.529	ML	4	S OF PALM AVE 99 NB				
601308	99	N	6	19		30.16	142.5	36.828907	-119.913118	.492	ML	3	Herndon Ave. 99 NB				
601309	5	N	6	29		33.5207	238.638	35.209575	-119.163095	5	ML	2	JCT RTE 223 BEAR MTN BLVD 5 NB				
601310	5	N	6	29		39.168	244.285	35.271319	-119.228751	4.871	ML	2	RTE 119 SEP 5 NB				
601311	99	S	6	39		0.9507	144.875	36.850953	-119.946685	.875	ML	3	AT AVENUE 7 NB				
601312	99	N	6	19		28.78	141.12	36.8149	-119.89557	.655	ML	3	BARSTOW AVE 99 NB				
601313	99	N	6	19		31.07	143.41	36.838157	-119.924761	.978	ML	3	N/O HERNDON AVE NB				
601314	99	N	6	19		28	140.34	36.807197	-119.885391	.589	ML	3	SHAW AVE 99 NB				
601315	5	N	6	29		56.622	261.739	35.442203	-119.456402	3.896	ML	2	7TH STANDARD RD 5 NB				
601325	152	E	6	39		0.97	89.767	37.083525	-120.475381	3.467	ML	2	W/O LINCOLN RD EB				
601335	5	N	6	19		30.66	349.526	36.444085	-120.401418	5	ML	2	JNO RTE 33 (NEXT TO CMS 26) NB				
601337	5	N	6	19		60.127	378.993	36.77864	-120.724386	5	ML	2	SHIELDS AVE OC 5 NB				
601338	5	N	6	19		66.045	384.911	36.853708	-120.77604	2.689	ML	2	NEES AVE OC 5 NB				
601339	5	N	6	19		13.992	332.858	36.243117	-120.236484	5	ML	4	WHEELER RIDGE RD - I5 NB				
601343	180	E	6	19		R57.066	33.552	36.746998	-119.803061	2.667	ML	4	180 @ BROADWAY AVE EB				
601344	180	E	6	19	27000	R58.25	34.736	36.753248	-119.783364	.489	ML	4	180 WB W OF FRESNO ST AT THESTA				
601346	180	E	6	19	27000	R58.985	35.471	36.754832	-119.770239	.773	ML	3	180 E/O 1ST STREET (EB)				
601348	180	E	6	19	27000	R59.797	36.283	36.754863	-119.755556	.545	ML	4	180 W/O CEDAR AVE (EB)				
601350	180	E	6	19	27000	R60.26	36.746	36.75487	-119.747186	.632	ML	3	180 EB W/O MAPLE AVE				
