Fwy,District,County,City,CA PM,Abs PM,Length,ID,Name,Lanes,Type,Sensor Type,HOV,MS ID,IRM,Latitude,Longitude,Dir,State_PM,Abs_PM,User_ID_1,_file_date,_source_file
SR1-N,5,Monterey,Monterey,R78.548,329.083,,500010123,CASA VERDE WAY HWY 1 SB VDS ONNB,1.0,On Ramp,,No,1,,36.600035,-121.863391,N,R78.548,329.083,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Seaside,R79.02,329.555,0.496,500010133,NORTH OF DEL MONTE AVE HWY 1 SB,3.0,Mainline,radars,No,1,,36.606429,-121.860759,N,R79.02,329.555,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Sand City,R79.539,330.074,,500010141,CANYON DEL REY BLVD AT HWY 1 NB,1.0,On Ramp,,No,1,,36.611927,-121.855044,N,R79.539,330.074,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Sand City,R79.54,330.075,0.719,500010142,CANYON DEL REY BLVD AT HWY 1 NB,2.0,Mainline,radars,No,1,,36.611936,-121.85503,N,R79.54,330.075,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Seaside,R80.458,330.993,,500010151,SOUTH OF FREMONT BLVD AT HWY 1 N,1.0,Off Ramp,,No,1,,36.622405,-121.845191,N,R80.458,330.993,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Seaside,R80.459,330.994,0.749,500010152,SOUTH OF FREMONT BLVD AT HWY 1 N,2.0,Mainline,radars,No,1,,36.622416,-121.845181,N,R80.459,330.994,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R81.04,331.575,0.559,500011012,NORTH OF FREMONT HWY 1 SB VDS ML,3.0,Mainline,,No,1,,36.628179,-121.838021,N,R81.04,331.575,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R81.577,332.112,0.858,500011021,MIDPOINT HWY 1 NB VDS MLNB NB,3.0,Mainline,radars,No,1,,36.634425,-121.832281,N,R81.577,332.112,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R82.778,333.29,,500011031,LIGHTFIGHTER DR HWY 1 NB VDS OFN,1.0,Off Ramp,,No,1,,36.64589,-121.816689,N,R82.778,333.29,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R82.779,333.291,1.357,500011032,LIGHTFIGHTER DR HWY 1 NB VDS MLN,3.0,Mainline,radars,No,1,,36.645899,-121.816675,N,R82.779,333.291,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R84.315,334.827,,500011041,IMJIN PARKWAY HWY 1 NB VDS OFNB,1.0,Off Ramp,,No,1,,36.667246,-121.814121,N,R84.315,334.827,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R84.316,334.828,1.105,500011042,IMJIN PARKWAY HWY 1 NB VDS MLNB,3.0,Mainline,radars,No,1,,36.667259,-121.814114,N,R84.316,334.828,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R84.99,335.502,,500011051,DEL MONTE BLVD SOUTH HWY 1 NB VD,2.0,Off Ramp,,No,1,,36.675811,-121.808283,N,R84.99,335.502,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R84.991,335.503,1.19,500011052,DEL MONTE BLVD SOUTH HWY 1 NB VD,2.0,Mainline,radars,No,1,,36.675824,-121.808276,N,R84.991,335.503,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Marina,R86.697,337.209,1.793,500011063,RESERVATION RD HWY 1 SB VDS MLNB,2.0,Mainline,radars,No,1,,36.699496,-121.803031,N,R86.697,337.209,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Marina,R86.698,337.21,,500011064,RESERVATION RD HWY 1 SB VDS ONNB,1.0,On Ramp,,No,1,,36.699509,-121.803024,N,R86.698,337.21,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R88.576,339.088,,500011071,DEL MONTE BLVD NORTH HWY 1 NB VD,1.0,On Ramp,,No,1,,36.724227,-121.790037,N,R88.576,339.088,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R88.577,339.089,1.832,500011072,DEL MONTE BLVD NORTH HWY 1 NB VD,2.0,Mainline,radars,No,1,,36.724239,-121.790028,N,R88.577,339.089,1,2026-03-27,d05_text_meta_2026_03_27.txt
